house_id,size_sqft,bedrooms,bathrooms,location,age_years,garage_spaces,has_pool,price
1,1500,3,2,suburban,10,1,0,250000
2,2200,4,3,urban,5,2,1,420000
3,1800,3,2,rural,15,2,0,280000
4,2500,5,3,suburban,2,2,1,550000
5,1200,2,1,urban,30,0,0,180000
6,3000,4,4,suburban,8,3,1,680000
7,1600,3,2,rural,20,1,0,220000
8,2800,5,3,urban,3,2,1,620000
9,1400,2,2,suburban,12,1,0,240000
10,2000,4,2,rural,6,2,0,320000
11,3200,6,4,urban,1,3,1,780000
12,1700,3,2,suburban,18,1,0,260000
13,2400,4,3,rural,4,2,1,400000
14,1300,2,1,urban,25,1,0,200000
15,2600,5,3,suburban,7,2,1,580000
